,ds,trend
0,2022-10-22,1.3411784735645722
1,2022-10-23,1.3414703336453744
2,2022-10-24,1.3417621937261763
3,2022-10-25,1.3420540538069785
4,2022-10-26,1.3423459138877802
5,2022-10-27,1.342637773968582
6,2022-10-28,1.3429296340493841
7,2022-10-29,1.3432214941301859
8,2022-10-30,1.343513354210988
9,2022-10-31,1.34380521429179
10,2022-11-01,1.344097074372592
11,2022-11-02,1.3443889344533937
12,2022-11-03,1.3446807945341956
13,2022-11-04,1.3449726546149976
14,2022-11-05,1.3452645146957998
15,2022-11-06,1.3455563747766017
16,2022-11-07,1.3458482348574035
17,2022-11-08,1.3461400949382054
18,2022-11-09,1.3464319550190074
19,2022-11-10,1.3467238150998095
20,2022-11-11,1.3470156751806115
21,2022-11-12,1.3473075352614132
22,2022-11-13,1.3475993953422154
23,2022-11-14,1.3478912554230171
24,2022-11-15,1.3481831155038189
25,2022-11-16,1.3484749755846213
26,2022-11-17,1.348766835665423
27,2022-11-18,1.3490586957462252
28,2022-11-19,1.349350555827027
29,2022-11-20,1.3496424159078286
30,2022-11-21,1.349934275988631
31,2022-11-22,1.3502261360694328
32,2022-11-23,1.350517996150235
33,2022-11-24,1.3508098562310367
34,2022-11-25,1.3511017163118386
35,2022-11-26,1.3513935763926406
36,2022-11-27,1.3516854364734427
37,2022-11-28,1.3519772965542447
38,2022-11-29,1.3522691566350464
39,2022-11-30,1.3525610167158484
40,2022-12-01,1.3528528767966503
41,2022-12-02,1.353144736877452
42,2022-12-03,1.3534365969582542
43,2022-12-04,1.3537284570390562
44,2022-12-05,1.3540203171198582
45,2022-12-06,1.3543121772006599
46,2022-12-07,1.354604037281462
47,2022-12-08,1.354895897362264
48,2022-12-09,1.355187757443066
49,2022-12-10,1.355479617523868
50,2022-12-11,1.3557714776046697
51,2022-12-12,1.3560633376854718
52,2022-12-13,1.3563551977662736
53,2022-12-14,1.356647057847076
54,2022-12-15,1.3569389179278777
55,2022-12-16,1.3572307780086794
56,2022-12-17,1.3575226380894816
57,2022-12-18,1.3578144981702833
58,2022-12-19,1.3581063582510853
59,2022-12-20,1.3583982183318875
