,date,operation,quantity
0,2022-10-13,buy,14
1,2022-10-20,buy,14
2,2022-11-3,buy,14
3,2022-11-7,buy,14
4,2022-11-8,buy,14
5,2022-11-18,buy,14
6,2022-12-19,buy,14
7,2022-12-21,buy,14
8,2022-12-23,buy,14
9,2023-02-10,buy,14
10,2023-02-16,buy,14
